route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
6,1,peak,14.49613879,4,7199.7056970979
6,1,all_day,14.41249359,4,7199.7056970979
8T,1,peak,20.22378372,4,18546.5362578313
8T,1,all_day,20.22378372,4,18546.5362578313
8T,0,peak,15.55647178,4,12320.2148282969
8T,0,all_day,15.55647178,4,12320.2148282969
767,1,offpeak,7.16259974,9,3292.98026741114
767,1,all_day,7.16259974,9,3292.98026741114
6,1,offpeak,15.61726496,4,16389.9302732869
6,1,peak,15.21715827,4,16389.9302732869
6,1,all_day,15.37614082,4,16389.9302732869
6,0,offpeak,16.38134826,4,17205.6919842837
6,0,peak,16.35997573,4,17205.6919842837
6,0,all_day,16.36931095,4,17205.6919842837
6,0,offpeak,11.38076989,6,7593.52795128513
6,0,peak,11.62716934,6,7593.52795128513
6,0,all_day,11.52321787,6,7593.52795128513
D,0,offpeak,8.44696234,4,9682.63467316487
D,0,peak,9.2094315,4,9682.63467316487
D,0,all_day,8.81173378,4,9682.63467316487
2031,0,offpeak,15.47752717,6,10668.1519851954
2031,0,peak,15.12420409,6,10668.1519851954
2031,0,all_day,15.3101909,6,10668.1519851954
2031,1,offpeak,16.43022895,6,10796.722356095
2031,1,peak,14.95030465,6,10796.722356095
2031,1,all_day,15.65443906,6,10796.722356095
2042,0,offpeak,34.69320028,1,58726.231766796
2042,0,peak,36.57829364,1,58726.231766796
2042,0,all_day,35.6437362,1,58726.231766796
2042,1,offpeak,35.43058521,1,54878.9324539447
2042,1,peak,33.26452162,1,54878.9324539447
2042,1,all_day,34.65084903,1,54878.9324539447
3615,1,offpeak,36.64140428,6,40961.1201941347
3615,1,peak,37.95333883,6,40961.1201941347
3615,1,all_day,37.68348961,6,40961.1201941347
3615,0,offpeak,34.74713599,6,40447.1916450112
3615,0,peak,38.41849494,6,40447.1916450112
3615,0,all_day,36.86062733,6,40447.1916450112
579,0,offpeak,27.91474333,6,67037.421049105
579,0,peak,32.24340881,6,67037.421049105
579,0,all_day,30.02577124,6,67037.421049105
L4,0,offpeak,35.9079326,4,95208.5242665516
L4,0,peak,37.49406155,4,95208.5242665516
L4,0,all_day,36.42607886,4,95208.5242665516
L4,1,peak,38.89951791,4,95214.5811164503
L4,1,all_day,38.89951791,4,95214.5811164503
1695,0,offpeak,16.91051485,7,45022.3365701713
